,State,County,City,Name,search_term
164,GA,Fulton,Atlanta,Home Park,"Home Park, Atlanta"
165,GA,Fulton,Atlanta,Hunter Hills,"Hunter Hills, Atlanta"
166,GA,Fulton,Atlanta,Meadowbrook Forest,"Meadowbrook Forest, Atlanta"
167,GA,Fulton,Atlanta,Norwood Manor,"Norwood Manor, Atlanta"
168,GA,Fulton,Atlanta,Oakcliff,"Oakcliff, Atlanta"
169,GA,Fulton,Atlanta,Oakland City,"Oakland City, Atlanta"
170,GA,Fulton,Atlanta,Penelope Neighbors,"Penelope Neighbors, Atlanta"
171,GA,Fulton,Atlanta,Peoplestown,"Peoplestown, Atlanta"
172,GA,Fulton,Atlanta,Ridgewood Heights,"Ridgewood Heights, Atlanta"
173,GA,Fulton,Atlanta,Rosedale Heights,"Rosedale Heights, Atlanta"
174,GA,Fulton,Atlanta,Rue Royal,"Rue Royal, Atlanta"
175,GA,Fulton,Atlanta,Tuxedo Park,"Tuxedo Park, Atlanta"
176,GA,Fulton,Atlanta,Westhaven,"Westhaven, Atlanta"
177,GA,Fulton,Atlanta,Westover Plantation,"Westover Plantation, Atlanta"
178,GA,Fulton,Atlanta,Capitol View Manor,"Capitol View Manor, Atlanta"
179,GA,Fulton,Atlanta,Carver Hills,"Carver Hills, Atlanta"
180,GA,Fulton,Atlanta,Channing Valley,"Channing Valley, Atlanta"
181,GA,Fulton,Atlanta,Downtown,"Downtown, Atlanta"
182,GA,Fulton,Atlanta,Lakewood Heights,"Lakewood Heights, Atlanta"
183,GA,Fulton,Atlanta,Ormewood Park,"Ormewood Park, Atlanta"
184,GA,Fulton,Atlanta,Poncey-Highland,"Poncey-Highland, Atlanta"
185,GA,Fulton,Atlanta,English Avenue,"English Avenue, Atlanta"
186,GA,Fulton,Atlanta,Fernleaf,"Fernleaf, Atlanta"
187,GA,Fulton,Atlanta,Green Acres Valley,"Green Acres Valley, Atlanta"
188,GA,Fulton,Atlanta,Greenbriar Village,"Greenbriar Village, Atlanta"
189,GA,Fulton,Atlanta,Hartsfield-Jackson Atlanta International Airport,"Hartsfield-Jackson Atlanta International Airport, Atlanta"
190,GA,Fulton,Atlanta,Wildwood,"Wildwood, Atlanta"
191,GA,Fulton,Atlanta,Arden - Habersham,"Arden - Habersham, Atlanta"
192,GA,Fulton,Atlanta,Woodfield,"Woodfield, Atlanta"
